@relation Spammer
@attribute 'followers_per_followees' numeric
@attribute 'replies_to_tweets' numeric
@attribute 'tweets_with_url_to_total_tweets' numeric
@attribute 'number_of_replies' numeric
@attribute 'hastag_count_to_word_count_mean' numeric
@attribute 'hastag_count_to_word_count_median' numeric
@attribute 'hastag_count_to_word_count_min' numeric
@attribute 'hastag_count_to_word_count_max' numeric
@attribute 'url_count_to_word_count_mean' numeric
@attribute 'url_count_to_word_count_median' numeric
@attribute 'url_count_to_word_count_min' numeric
@attribute 'url_count_to_word_count_max' numeric
@attribute 'characters_per_tweet_mean' numeric
@attribute 'characters_per_tweet_median' numeric
@attribute 'characters_per_tweet_min' numeric
@attribute 'characters_per_tweet_max' numeric
@attribute 'hashtags_per_tweet_mean' numeric
@attribute 'hashtags_per_tweet_median' numeric
@attribute 'hashtags_per_tweet_min' numeric
@attribute 'hashtags_per_tweet_max' numeric
@attribute 'mentions_per_tweet_mean' numeric
@attribute 'mentions_per_tweet_median' numeric
@attribute 'mentions_per_tweet_min' numeric
@attribute 'mentions_per_tweet_max' numeric
@attribute 'numeric_characters_per_tweet_mean' numeric
@attribute 'numeric_characters_per_tweet_median' numeric
@attribute 'numeric_characters_per_tweet_min' numeric
@attribute 'numeric_characters_per_tweet_max' numeric
@attribute 'url_count_per_tweet_mean' numeric
@attribute 'url_count_per_tweet_median' numeric
@attribute 'url_count_per_tweet_min' numeric
@attribute 'url_count_per_tweet_max' numeric
@attribute 'word_count_per_tweet_mean' numeric
@attribute 'word_count_per_tweet_median' numeric
@attribute 'word_count_per_tweet_min' numeric
@attribute 'word_count_per_tweet_max' numeric
@attribute 'retweet_count_mean' numeric
@attribute 'retweet_count_median' numeric
@attribute 'retweet_count_min' numeric
@attribute 'retweet_count_max' numeric
@attribute 'followee_count' numeric
@attribute 'follower_count' numeric
@attribute 'tweet_count' numeric
@attribute 'mention_count' numeric
@attribute 'reply_count' numeric
@attribute 'total_tweet_count_of_followees' numeric
@attribute 'time_between_posts_mean' numeric
@attribute 'time_between_posts_median' numeric
@attribute 'time_between_posts_min' numeric
@attribute 'time_between_posts_max' numeric
@attribute 'post_count_per_day_mean' numeric
@attribute 'post_count_per_day_median' numeric
@attribute 'post_count_per_day_min' numeric
@attribute 'post_count_per_day_max' numeric
@attribute 'post_count_per_week_mean' numeric
@attribute 'post_count_per_week_median' numeric
@attribute 'post_count_per_week_min' numeric
@attribute 'post_count_per_week_max' numeric
@attribute 'spammer' {'yes' 'no'}

@data
1.0244444444,0.1836734694,0.3197278912,27,0.0106,0,0,0.2,0.0306,0,0,0.3333,82.6122,121,19,145,0.1088,0,0,1,0.3673,1,0,2,0.4558,1,0,3,0.3197,0,0,1,13.1224,21,1,28,0.1224,0,0,2,450,461,147,26,7,1096119,46414.1712,1552,19,605766,1.8608,0,0,14,12.25,13,3,26,yes
0,0,1,0,0.1667,0.16667,0.1667,0.1667,0.1667,0.16667,0.1667,0.1667,105,105,105,105,1,1,1,1,0,0,0,0,2,2,2,2,1,1,1,1,6,6,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,yes
0.2352941176,0.2666666667,0.2466666667,40,0.0296,0,0,0.75,0.0622,0,0,1,69.5467,3,3,150,0.1533,0,0,3,0.3933,0,0,2,0.4733,0,0,4,0.2867,0,0,3,11.0133,1,1,31,0.0933,0,0,1,68,16,7,20,18,38124,77346.5973,38578,14,1669318,1.1194,9,0,10,7.5,23,0,24,yes
0.7066666667,0.2243589744,0.4487179487,35,0.105,1,0,1,0.0598,0,0,0.3333,83.0705,12,12,189,0.6154,1,0,3,0.4167,0,0,3,1.9359,0,0,8,0.4551,0,0,2,11.4679,1,1,28,0.1026,0,0,2,75,53,154,11,10,142767,31488.3935,39963,25,197588,2.7368,1,0,8,17.3333,20,2,26,yes
1.4603174603,0.6568993074,0.0511454449,1233,0.0069,0,0,1,0.0049,0,0,0.5,84.1913,85,11,154,0.0581,0,0,6,0.7571,1,0,8,0.666,1,0,6,0.0517,0,0,2,14.9792,14,1,34,0.008,0,0,2,126,184,1884,725,860,393427,6063.4291,2203,11,355203,14.2197,30,0,93,98.7895,169,5,266,yes
1.1342592593,0.4946895425,0.1058006536,1211,0.0077,0,0,0.75,0.0163,0,0,1,70.9698,131,4,578,0.0707,0,0,4,0.6078,1,0,10,0.3186,1,0,11,0.1107,0,0,4,11.71,23,1,31,0.0159,0,0,2,216,245,2448,839,731,250420,17819.785,124,11,1902924,4.8475,8,0,46,33.5342,31,0,132,yes
0.6543209877,0.2517482517,0.0722610723,108,0.0015,0,0,0.1,0.0058,0.125,0,0.1667,95.6737,66,15,167,0.0256,0,0,2,0.289,1,0,7,0.3776,1,0,4,0.0746,1,0,2,17.4242,8,3,32,0.007,1,0,1,81,53,430,72,69,38530,9670.1449,2246,23,499332,8.9375,2,0,33,61.2857,41,14,161,yes
0.3995271868,0.5737583395,0.1512231282,774,0.004,0,0,0.3333,0.0162,0,0,1,87.4685,139,5,170,0.0452,0,0,3,0.8792,1,0,7,0.3291,2,0,5,0.1527,0,0,2,14.1423,28,1,30,0.1253,1,0,2,423,169,1354,142,109,321249,12712.5408,10,10,1788652,6.7789,3,0,50,46.5172,40,0,133,yes
0.6976744186,0.4102564103,0.2461538462,80,0.0012,0,0,0.1111,0.0366,0,0,0.5,74.5795,54,11,143,0.0154,0,0,1,0.4718,1,0,2,0.4513,0,0,4,0.2462,0,0,1,13.1795,11,2,32,0.0308,0,0,1,43,30,195,37,36,17804,49412.1031,18269,76,1145910,1.7568,0,0,15,12.1875,9,0,39,yes
0,0,1,0,0.1667,0.16667,0.1667,0.1667,0.1667,0.16667,0.1667,0.1667,110,110,110,110,1,1,1,1,0,0,0,0,2,2,2,2,1,1,1,1,6,6,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,yes
1.4210526316,0.1662468514,0.2216624685,66,0.0083,0,0,0.25,0.0191,0,0,1,88.0882,59,10,148,0.1083,0,0,3,0.5416,0,0,10,0.5038,0,0,4,0.2292,0,0,2,14.136,11,1,28,0.1411,0,0,2,133,189,397,174,121,69679,33345.947,46374,7,488356,2.5948,1,0,10,18.0455,11,7,55,yes
0.6026785714,0.4912485414,0.1435239207,421,0.0046,0,0,0.25,0.0144,0,0,0.5,85.5683,45,11,147,0.0513,0,0,1,0.9452,1,0,10,0.4982,1,0,4,0.1447,0,0,2,14.4597,9,1,34,0.0793,0,0,2,224,135,857,201,222,472354,16322.5491,1166,14,722169,5.2901,4,0,116,35.7083,18,4,135,yes
1.5,0.1451612903,0.1290322581,9,0.0298,0,0,0.25,0.0102,0,0,0.0833,109.0645,90,18,140,0.371,0,0,3,0.1452,0,0,1,0.2258,0,0,2,0.129,0,0,1,19.4032,19,3,29,0,0,0,0,10,15,55,1,3,4536,229283.8361,223486,874,1410504,0.3827,0,0,5,2.5833,0,0,12,yes
0.6551724138,0.3311258278,0.1059602649,150,0.0006,0,0,0.25,0.0193,0,0,1,91.5916,35,1,157,0.0066,0,0,3,0.3731,1,0,2,0.6358,0,0,5,0.106,0,0,1,16.7241,6,1,31,0.0199,0,0,1,783,513,339,167,144,919061,27701.5597,777,52,645047,3.1241,4,0,14,21.5714,30,2,54,yes
1.1734693878,0.3539288113,0.0906648758,527,0.0007,0,0,1,0.0264,0,0,1,64.683,29,2,456,0.0013,0,0,1,0.3929,1,0,5,1.2686,1,0,8,0.0907,0,0,1,9.7784,3,1,31,0.004,0,0,1,98,115,1489,523,486,113430,18648.1069,126,4,1208535,4.6242,0,0,31,32.3696,8,0,113,yes
0,0,1,0,0.1667,0.16667,0.1667,0.1667,0.1667,0.16667,0.1667,0.1667,108,108,108,108,1,1,1,1,0,0,0,0,2,2,2,2,1,1,1,1,6,6,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,yes
3.3355704698,0.6456241033,0.1558106169,2250,0.003,0,0,1,0.0104,0.05,0,0.2,104.4628,124,17,167,0.0399,0,0,10,0.9472,1,0,9,0.4542,2,0,8,0.1595,1,0,3,18.3865,20,2,35,0.1085,0,0,3,298,994,2945,2859,2415,369041,2729.2959,206,5,218390,31.3964,7,0,144,217.8125,122,88,509,yes
0.3777777778,0.1827586207,0.3034482759,53,0.0056,0,0,0.25,0.0222,0,0,0.25,111.0931,133,14,165,0.0759,0,0,1,0.2241,0,0,2,0.7103,0,0,4,0.3103,0,0,2,19.4172,24,2,32,0.0241,0,0,1,90,34,290,10,5,95388,35298.5917,45958,38,565382,2.437,2,0,18,17.0588,12,8,36,yes
0.7019230769,0.1098677518,0.3855544252,108,0.0115,0,0,1,0.0385,0.05882,0,0.5,89.3021,116,2,172,0.1251,0,0,6,0.1679,1,0,9,0.7335,1,0,7,0.3906,1,0,4,14.6297,17,1,31,0.0163,0,0,1,104,73,983,118,90,171854,15323.7169,5647,2,253927,5.6171,8,0,20,39.32,50,17,60,yes
1.0062893082,0.2805953693,0.0644983462,509,0.0113,0,0,0.5,0.0066,0,0,0.3333,83.8578,138,10,148,0.1362,0,0,2,0.3467,1,0,4,0.1957,0,0,3,0.0645,0,0,1,14.5347,23,1,32,0.0061,0,0,1,318,320,1814,347,315,703073,16426.433,1716,4,417097,5.258,4,0,35,36.28,26,4,87,yes
0,0,1,0,0.0646,0.25,0,0.25,0.1179,0.125,0.1,0.125,81.8182,78,72,118,0.5455,2,0,2,0,0,0,0,3,3,2,4,1,1,1,1,8.5455,8,8,10,0,0,0,0,0,0,11,0,0,0,248252.8,26287,64,2448775,0.3793,0,0,10,2.2,0,0,10,yes
0.4461538462,0.2127272727,0.8081818182,234,0.0007,0,0,0.25,0.0694,0.08333,0,0.3333,94.1827,99,9,186,0.0064,0,0,1,0.35,0,0,6,2.0682,2,0,7,0.81,1,0,2,13.5382,12,2,30,0.0082,0,0,2,130,58,1100,71,26,135179,6765.303,209,15,247786,12.6437,10,0,60,84.6154,146,27,146,yes
0,0,1,0,0.0694,0.11111,0,0.125,0.123,0.11111,0.1111,0.1429,84,85,71,104,0.6,1,0,1,0,0,0,0,2.8,3,2,3,1,1,1,1,8.2,9,7,9,0,0,0,0,0,0,5,0,0,0,624776.5,65,64,2498913,0.1724,0,0,4,1,0,0,4,yes
1.5479452055,0.5295302013,0.0842281879,1578,0.0148,0.10526,0,0.3333,0.0108,0,0,1,85.4587,139,12,170,0.1691,2,0,5,0.8517,1,0,10,0.447,0,0,7,0.0849,0,0,2,13.9161,19,1,37,0.1383,1,0,3,365,565,2980,1281,756,1295943,3658.759,152,0,531911,23.4646,0,0,129,156.8421,329,4,415,yes
1.5,0.3333333333,0.1363636364,22,0.0131,0,0,0.2857,0.0118,0,0,0.1429,71.4394,30,4,140,0.1364,0,0,2,0.4697,0,0,1,0.2273,0,0,1,0.1364,0,0,1,12.1364,3,1,26,0,0,0,0,4,6,65,0,0,2427,174134.4615,849,37,3104870,0.5,0,0,8,3.4737,0,0,17,yes
0.8076923077,0.4044117647,0.0514705882,55,0.0015,0,0,0.125,0.0212,0,0,1,57.3676,27,7,142,0.0294,0,0,3,0.5294,0,0,3,0.4853,1,0,2,0.0515,0,0,1,9.8015,4,1,28,0.0294,0,0,1,26,21,136,46,49,15745,108351.7481,21164,25,1142771,0.8,1,0,9,5.44,9,0,25,yes
2.2486486486,0.0006830601,0.9986338798,1,0.0764,0.06667,0,0.4,0.0646,0.06667,0,0.2222,123.9495,110,42,152,1.2179,1,0,6,0.0007,0,0,1,1.4112,1,0,5,1.0075,1,0,2,16.8709,15,7,26,0,0,0,0,185,416,1464,59,27,266060,2579.3062,129,5,313315,33.2727,29,0,104,209.1429,173,22,426,yes
1.1949152542,0.3804878049,0.3658536585,78,0.0131,0.05882,0,0.5,0.0367,0,0,0.5,95.5707,97,21,159,0.1512,1,0,2,0.5268,0,0,2,0.7122,0,0,6,0.3951,0,0,4,15.2195,17,2,29,0.0634,0,0,1,118,141,205,56,32,233792,65905.7402,4205,45,2162500,1.3141,0,0,12,8.913,7,0,45,yes
2.2661290323,0.250524109,0.3015373864,717,0.0003,0,0,0.125,0.0353,0.33333,0,0.3333,93.8885,31,1,150,0.0059,0,0,1,0.2781,0,0,2,0.472,2,0,7,0.304,1,0,2,15.6974,3,1,33,0.0091,0,0,1,124,281,2690,204,185,353882,3586.4628,6566,1,118082,24.0504,13,0,104,168.3529,194,38,372,yes
0.6601941748,0.2527472527,0.6043956044,46,0.0031,0,0,0.1667,0.0686,0,0,0.5,88.7418,68,10,331,0.033,0,0,1,0.5549,1,0,2,0.8681,0,0,5,0.6154,0,0,2,12.3846,14,1,27,0.1209,0,0,1,103,68,183,68,65,89268,60286.9006,174077,32,826498,1.4331,2,0,7,9.5789,4,0,25,yes
166.0208333333,0.1551401869,0.1943925234,83,0.0134,0,0,1,0.0296,0,0,1,85.3514,34,9,154,0.1028,0,0,2,0.2243,0,0,3,0.5738,0,0,3,0.1963,0,0,2,14.9551,7,1,33,0.0168,0,0,1,48,7969,536,8903,8939,53865,34129.3633,60,16,882771,2.5355,1,0,33,17.2581,32,0,77,yes
0.8222222222,0.5410668925,0.0520745131,1278,0.0146,0,0,1,0.0111,0,0,1,52.5271,68,1,154,0.1181,0,0,7,0.7299,0,0,11,0.6236,0,0,6,0.055,0,0,4,9.4458,12,1,34,0.0025,0,0,1,270,222,2362,875,850,485095,6262.2901,133,0,2865196,13.7326,19,0,143,94.48,66,0,499,yes
0.4444444444,0.2266081871,0.1235380117,310,0.0067,0,0,1,0.0271,0,0,1,61.4327,54,1,154,0.0519,0,0,3,0.3326,0,0,6,0.7091,0,0,13,0.1257,0,0,2,11.1601,11,1,33,0.0183,0,0,2,144,64,1368,80,152,174162,10005.4587,2556,5,188888,8.6038,20,0,37,59.4783,96,18,123,yes
1.0404280618,0.3837535014,0.2104841937,959,0.0148,0,0,0.6667,0.0274,0.1,0,1,63.4474,55,8,160,0.1104,0,0,3,0.5866,0,0,10,0.4122,0,0,8,0.2149,1,0,2,10.3441,10,1,34,0.0136,0,0,2,841,875,2499,672,761,1861481,30713.3567,4803,0,11605783,2.8142,1,0,41,19.6772,29,0,109,yes
0.8259109312,0.3282247765,0.1928480204,257,0.0028,0,0,0.3333,0.053,0,0,1,58.8914,49,4,151,0.0192,0,0,3,0.4547,0,0,4,0.2912,0,0,5,0.1928,0,0,1,9.2733,9,1,29,0.046,0,0,1,247,204,783,287,245,217699,21518.7992,6581,9,349250,4.0154,4,0,17,27.9643,35,3,67,yes
0.9181536997,0.2293729373,0.4667216722,834,0.0104,0,0,0.75,0.0548,0,0,1,73.3859,54,2,166,0.1026,0,0,9,0.486,1,0,12,0.7228,0,0,18,0.4736,0,0,2,11.1694,8,1,31,0.1595,0,0,2,4203,3859,10330,2554,2217,10813669,9988.7304,1589,0,566378,8.6366,16,0,37,59.6066,109,1,114,yes
0.8541666667,0.5142405063,0.1661392405,325,0.0026,0,0,0.1429,0.013,0.05,0,0.5,98.0411,133,12,148,0.0475,0,0,2,0.6123,0,0,3,0.4035,0,0,4,0.1693,1,0,2,16.3339,20,2,29,0.0443,0,0,2,48,41,633,297,286,58847,63513.7734,23345,16,21753805,1.3621,0,0,15,9.4328,0,0,42,yes
0.9523809524,0.347740668,0.1984282908,177,0.0177,0,0,0.4286,0.0219,0,0,0.3333,80.9843,72,6,196,0.1611,0,0,3,0.4086,0,0,4,0.6542,0,0,7,0.2024,0,0,2,13.2711,14,2,29,0.0138,0,0,1,42,40,509,115,145,19676,41960.6594,37,30,1467603,2.0607,2,0,12,14.1389,17,0,37,yes
0.4814814815,0.5571428571,0.2571428571,39,0.0057,0,0,0.1429,0.0267,0,0,0.2,77.8143,31,11,140,0.0571,0,0,1,0.6571,1,0,2,0.6429,0,0,3,0.2571,0,0,1,11.9714,5,3,26,0.0286,0,0,1,54,26,70,7,7,140829,97510.4348,73911,28,2062777,0.8974,0,0,10,5.8333,1,0,33,yes
1.1875,0.6719745223,0.2364649682,1688,0.014,0,0,0.5,0.0198,0,0,0.5,80.4017,25,3,230,0.1827,0,0,6,1.0573,1,0,10,0.4291,0,0,7,0.2416,0,0,3,12.5681,4,1,43,0.2862,0,0,3,208,247,2512,857,747,402569,8486.7427,384,11,201549,10.17,10,0,48,69.7778,70,1,187,yes
0.6062992126,0.1615326822,0.1172051089,215,0.0007,0,0,0.5,0.015,0,0,1,73.5049,62,7,148,0.0053,0,0,3,0.1871,0,0,2,0.2397,1,0,4,0.118,0,0,2,12.7956,13,1,31,0.0105,0,0,1,254,154,1330,88,85,356756,19428.5173,38467,2,987422,4.4367,11,0,21,30.9535,56,4,72,yes
0.3333333333,0.0666666667,0.04,5,0.0077,0,0,0.1667,0.0027,0,0,0.0909,63.6133,22,4,144,0.0667,0,0,1,0.0667,0,0,1,0.1733,0,0,3,0.04,0,0,1,11.8,4,1,33,0,0,0,0,90,30,75,2,2,152242,76537.4189,100605,86,969198,1.1364,0,0,10,7.5,6,0,20,yes
0,0,1,0,0.1667,0.16667,0.1667,0.1667,0.1667,0.16667,0.1667,0.1667,103,103,103,103,1,1,1,1,0,0,0,0,2,2,2,2,1,1,1,1,6,6,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,yes
0.9181818182,0.6801762115,0.0281938326,772,0.0071,0,0,0.6667,0.0037,0,0,1,66.2053,139,3,191,0.1022,0,0,4,1.2775,0,0,12,0.5454,0,0,7,0.0282,0,0,1,11.6,30,1,33,0.1172,0,0,3,110,101,1135,355,254,383470,11582.0282,919,7,1700429,7.4183,12,0,115,51.5909,41,0,386,yes
0.1111111111,0.6147540984,0.2295081967,75,0.0389,0.0625,0,1,0.0447,0,0,1,60.3197,90,13,150,0.1311,1,0,2,0.6475,1,0,1,0.3279,0,0,2,0.2295,0,0,1,9.7295,16,1,31,0,0,0,0,9,1,122,0,0,6285,90830.4876,63,17,2157817,0.9531,0,0,19,6.4211,3,0,50,yes
1.6836982968,0.5536592421,0.0627711889,1914,0.0096,0,0,0.5,0.0065,0,0,1,84.3439,66,11,166,0.057,0,0,3,0.7168,1,0,4,0.3885,0,0,8,0.0628,0,0,1,14.4949,10,1,33,0.0923,0,0,2,411,692,3242,3881,3466,457831,4923.5911,107,0,307574,17.5482,2,0,128,119.2069,27,4,625,yes
0.0512820513,0,0.4444444444,0,0.0948,0.16667,0,0.2,0.0722,0,0,0.2,57.3333,32,32,95,0.6667,1,0,1,0,0,0,0,0.6667,0,0,2,0.4444,0,0,1,8.7778,6,5,16,0,0,0,0,39,2,9,0,0,4077,11.875,15,2,23,9,9,9,9,9,9,9,9,yes
0.0801526718,0,0.85,0,0,0,0,0,0.0922,0.11111,0,0.1667,64.8,62,5,94,0,0,0,0,0,0,0,0,0.8,1,0,2,0.85,1,0,1,8.5,9,1,15,0,0,0,0,262,21,20,0,0,718951,27279.6842,129627,3,132982,3.3333,1,0,8,20,20,20,20,yes
3.5729166667,0.2524495677,0.4023054755,438,0.0088,0,0,1,0.038,0,0,0.5,85.702,30,5,576,0.0409,0,0,2,0.3844,0,0,11,0.7233,0,0,17,0.4029,0,0,2,13.3637,5,1,32,0.011,0,0,1,192,686,1735,341,256,690618,6322.8414,726,0,702149,13.6614,0,0,78,91.3158,159,1,312,yes
0.7464440322,0.0088731145,0.950310559,10,0.0628,0.5,0,0.75,0.079,0.5,0,0.5,110.3709,49,21,157,0.7587,1,0,6,0.024,0,0,2,0.9769,1,0,9,1.0062,1,0,3,16.2555,2,2,30,0.0133,0,0,1,1617,1207,1127,71,15,3261271,1681.8464,4,1,44725,51.2273,44,10,161,281.75,380,18,485,yes
0,0,1,0,0.1667,0.16667,0.1667,0.1667,0.1667,0.16667,0.1667,0.1667,104,104,104,104,1,1,1,1,0,0,0,0,2,2,2,2,1,1,1,1,6,6,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,yes
1.0283171521,0.1360643745,0.5398683248,186,0.0183,0,0,0.5,0.0413,0.05,0,0.2,104.7096,138,11,158,0.2794,0,0,4,0.4565,1,0,9,0.8222,3,0,6,0.5406,1,0,2,16.1602,20,2,29,0.2019,1,0,2,2472,2542,1367,722,442,5699058,21183.8799,2722,7,599882,4.0806,2,0,28,28.4792,25,1,69,yes
0.7407407407,0.3701923077,0.3461538462,77,0.0157,0,0,1,0.0334,0,0,0.5,97.6538,56,7,147,0.149,0,0,3,0.6202,2,0,3,0.3029,0,0,3,0.3654,0,0,2,15.9423,8,1,31,0.1442,0,0,3,81,60,208,36,35,103860,151118.1981,74213,7,5002327,0.573,0,0,15,4,0,0,32,yes
0,0,1,0,0.1667,0.16667,0.1667,0.1667,0.1667,0.16667,0.1667,0.1667,105,105,105,105,1,1,1,1,0,0,0,0,2,2,2,2,1,1,1,1,6,6,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,yes
0.0303030303,0,0.2820512821,0,0.05,0.11111,0,0.25,0.0371,0.11111,0,0.1667,80.4872,63,16,263,0.5128,1,0,3,0.1026,0,0,1,0.5897,1,0,2,0.2821,1,0,1,12.359,9,2,27,0.0256,0,0,1,33,1,39,0,0,2351,2985.0263,5,2,49211,19.5,28,11,28,39,39,39,39,yes
1.108892922,0.4123491838,0.5308729595,581,0.0165,0,0,0.3333,0.05,0,0,0.6667,95.2782,58,7,179,0.2044,0,0,4,1.0681,1,0,11,0.8992,0,0,7,0.582,0,0,3,14.1419,10,1,32,0.2285,0,0,2,2755,3055,1411,425,271,6276361,16274.3459,567,0,2756849,5.297,0,0,43,37.0789,42,0,112,yes
0.34375,0.3903030303,0.136969697,322,0.0147,0,0,0.6667,0.0127,0,0,0.2857,89.1527,80,7,161,0.1976,0,0,8,0.4764,0,0,3,0.3297,1,0,3,0.1467,0,0,3,14.9224,16,1,31,0.0327,0,0,1,32,11,825,98,144,56043,11954.96,84,5,345261,7.1739,0,0,71,48.5294,16,11,172,yes
